,Section,Date,Authority,Geographical subdivision,Medicare Fraud Strike Force case,Heading,Description,Hyperlink
0,Criminal and Civil Enforcement,2020-08-27,"U.S. Attorney's Office, District of New Jersey",,0,"New Jersey Electronic Health Records Company to Pay $500,000 to Resolve False Claims Act Allegations","NEWARK, N.J. - An electronic health records company based in Passaic County, New Jersey, has agreed to pay $500,000 to resolve allegations that a former subsidiary caused users to file false claims with the government, U.S. Attorney Craig Carpenito announced today.</br>",https://go.usa.gov/xGCxj
1,Criminal and Civil Enforcement,2020-08-26,"U.S. Attorney's Office, District of New Jersey",,0,Camden County Man Admits Role in Government Benefits Fraud Scheme,"CAMDEN, N.J. - A Camden, New Jersey, man today admitted his role in a scheme that netted tens of thousands of dollars in government funds using fraudulently procured electronic benefits transfer (EBT) cards, U.S. Attorney Craig Carpenito announced.</br>",https://go.usa.gov/xGxun
2,Criminal and Civil Enforcement,2020-08-26,"U.S. Attorney's Office, District of New Jersey",,0,Fourth Person Admits Trafficking High-Dosage Oxycodone Pills Related to Gloucester City Drug Ring,"CAMDEN, N.J. - A Camden County, New Jersey, man today admitted buying and reselling high-dosage oxycodone pills in Gloucester City, New Jersey, U.S. Attorney Craig Carpenito announced.",https://go.usa.gov/xGxJa
3,Criminal and Civil Enforcement,2020-08-25,"U.S. Attorney's Office, Eastern District of Kentucky",,0,Floyd County Dentist Pleads Guilty to Health Care Fraud,"FRANKFORT, Ky.- A McDowell, Ky., man, Denver D. Tackett, DMD, 66, pleaded guilty on Tuesday, before U.S. District Judge Gregory Van Tatenhove, to health care fraud.",https://go.usa.gov/xGcfP
4,Criminal and Civil Enforcement,2020-08-25,"U.S. Attorney's Office, Southern District of Texas",,0,Pain doctor pays to settle allegations of deceptive Medicare billing,"HOUSTON - A 52-year-old pain management physician from Houston has paid $530,000 to resolve allegations he falsely billed Medicare for the use of electro-acupuncture devices, announced U.S. Attorney Ryan K. Patrick.",https://go.usa.gov/xGcft
5,Criminal and Civil Enforcement,2020-08-24,Department of Justice,,0,DUSA Pharmaceuticals To Pay U.S. $20.75 Million To Settle False Claims Act Allegations Relating To Promotion Of Unsupported Drug Administration Process,"Massachusetts-based DUSA Pharmaceuticals, Inc. (DUSA), a subsidiary of Sun Pharmaceutical Industries, Inc. (Sun Pharma), has agreed to pay the United States $20.75 million to resolve allegations that DUSA caused physicians to submit false claims to Medicare and the Federal Employee Health Benefit Program by knowingly promoting an administration process for the drug Levulan Kerastick that contradicted the product instructions approved by the U.S. Food and Drug Administration (FDA) and was unsupported by sufficient clinical evidence.  ",https://go.usa.gov/xG3UQ
6,Criminal and Civil Enforcement,2020-08-21,"U.S. Attorney's Office, Southern District of Georgia",,0,"Government obtains more than $5 million in judgments to resolve healthcare fraud allegations against Georgia chiropractor, practice: Medicare provider falsely claimed reimbursement for hundreds of procedures misrepresented as surgery","BRUNSWICK, GA:  A Brunswick, Ga. chiropractor and her medical practice have been ordered to pay more than $5 million to resolve a civil fraud complaint filed by the federal government.",https://go.usa.gov/xGqUN
7,Criminal and Civil Enforcement,2020-08-21,"U.S. Attorney's Office, Eastern District of New York",,0,Former Queens Cardiologist Settles Civil Fraud Allegations: Ghanshyam Bhambhani to Pay $2 Million to Resolve Kickback and False Claims Allegations,"Ghanshyam Bhambhani, a former Queens cardiologist, will pay a total of $2 million to settle civil claims that he paid kickbacks to other physicians for referrals of patients insured by Medicare, Medicaid and the Federal Employees' Health Benefits Program.  Under the terms of the settlement, Bhambhani will pay the United States $1,370,294.50.  In addition, he will pay the State of New York $629,705.50.",https://go.usa.gov/xGqUs
8,Criminal and Civil Enforcement,2020-08-20,U.S. Attorney's Office,Northern District of Texas,0,NextHealth Marketer Charged in $60 Million Kickback Scheme,"A pharmacy marketer who allegedly collected more than $60 million in illegal kickbacks has been charged with violating the federal Anti-Kickback Statute, Northern District of Texas First Assistant U.S. Attorney Prerak Shah announced today.",https://go.usa.gov/xfSaX
9,Criminal and Civil Enforcement,2020-08-19,"U.S. Attorney's Office, Northern District of West Virginia",,0,West Virginia physician indicted for illegally distributing drugs,"CLARKSBURG, WEST VIRGINIA - Dr. Felix Brizuela, Jr., a Pennsylvania physician operating offices in West Virginia, was indicted by a grand jury today on charges of illegally distributing controlled substances, U.S. Attorney Bill Powell announced.",https://go.usa.gov/xfuS9
10,Criminal and Civil Enforcement,2020-08-19,"U.S. Attorney's Office, Eastern District of New York",,0,New York Hospice Provider Settles Civil Healthcare Fraud Allegations:  Metropolitan Jewish Health System Hospice to Pay $5.2 Million,"Metropolitan Jewish Health System Hospice and Palliative Care (""MJHS Hospice""), a New York nonprofit hospice provider, has agreed to pay the United States $4,850,000 to resolve civil allegations that it billed Medicare and Medicaid for services rendered to hospice patients at heightened levels of care for which the patients did not qualify, in violation of the False Claims Act, and has agreed to pay the State of New York $375,000.",https://go.usa.gov/xfuSv
11,Criminal and Civil Enforcement,2020-08-19,"U.S. Attorney's Office, Southern District of West Virginia",,0,Wheelers Indicted for Conspiracy to Obstruct Justice,"CHARLESTON, W.Va. - A federal grand jury has returned an indictment charging Julie Wheeler, 44, and her husband Rodney Wheeler, 48, both of Beaver, with conspiracy to obstruct justice, according to United States Attorney Mike Stuart.",https://go.usa.gov/xfuhx
12,Criminal and Civil Enforcement,2020-08-18,"U.S. Attorney's Office, District of Massachusetts",,0,United States Files False Claims Act Complaint Against Drug Maker Teva Pharmaceuticals: Complaint alleges that Teva funneled hundreds of millions of dollars in kickbacks through co-pay foundations,"BOSTON - The U.S. Attorney's Office has filed a complaint under the False Claims Act against Teva Pharmaceuticals USA, Inc., and Teva Neuroscience, Inc., the maker of Copaxone, a drug for multiple sclerosis (MS).",https://go.usa.gov/xfzdh
13,Criminal and Civil Enforcement,2020-08-14,U.S. Attorney,Southern District of Ohio,0,Hamilton physician who was convicted at trial of illegally dealing opioids sentenced to 20 years in prison,"CINCINNATI - Dr. Saad Sakkal, 72, was sentenced today in U.S. District Court to 240 months in prison for illegally distributing and dispensing controlled substances to multiple patients, including drugs that led to the death of one victim in 2016. Sakkal was practicing at Lindenwald Medical Association, Inc. in Hamilton.",https://go.usa.gov/xfeap
14,Criminal and Civil Enforcement,2020-08-14,U.S. Attorney,Southern District of Illinois,0,Metro East Dentist Sentenced to Prison For Health Care Fraud,"A St. Louis-area dentist has been sentenced to prison for defrauding Illinois Medicaid out of hundreds of thousands of dollars over a period of several years. Dr. Yun Sup Kim, 49, of St. Louis, appeared this morning via videoconference at the federal courthouse in Benton, Illinois, and was sentenced to 12 months and one day in federal prison. Kim pled guilty to three counts of health care fraud back in February.",https://go.usa.gov/xfeaw
15,Criminal and Civil Enforcement,2020-08-13,U.S. Attorney,District of Massachusetts,0,Specialty Pharmacy Advanced Care Scripts Agrees to Pay $3.5 Million to Resolve Allegations that it Served as a Kickback Conduit,"        BOSTON — The U.S. Attorney's Office has reached a $3.5 million settlement with specialty pharmacy Advanced Care Scripts, Inc. (ACS), to resolve allegations that ACS conspired with pharmaceutical manufacturer Teva Neuroscience, Inc. (Teva), to enable Teva to pay kickbacks to Medicare patients taking Copaxone, a Teva drug approved for treatment of multiple sclerosis.",https://go.usa.gov/xf6qk
16,Criminal and Civil Enforcement,2020-08-12,U.S. Attorney,Middle District of Pennsylvania,0,"Mobile X-Ray Company To Pay $49,759 To Settle False Claims Liability","HARRISBURG - The United States Attorney's Office for the Middle District of Pennsylvania announced that Physician's Mobile X-Ray has agreed to pay the United States $49,759 to resolve potential liability under the False Claims Act. Physician's Mobile X-Ray is based in Harrisburg, Pennsylvania and provides mobile imaging services, including x-rays, ultrasounds and cardiac services.",https://go.usa.gov/xfs7Q
17,Criminal and Civil Enforcement,2020-08-12,U.S. Attorney,District of South Dakota,0,Arizona Man Charged with Failure to Pay Child Support,"United States Attorney Ron Parsons announced that an Anthem, Arizona, man has been indicted by a federal grand jury for Failure to Pay Child Support. Jacob A. Tate, age 44, was indicted on June 6, 2018.  He appeared before U.S. Magistrate Judge Veronica L. Duffy on August 7, 2020, and pled not guilty to the Indictment.",https://go.usa.gov/xfs77
18,Criminal and Civil Enforcement,2020-08-10,U.S. Attorney,Eastern District of Kentucky,0,Eastern Kentucky Doctor and Assistant Plead Guilty To Unlawfully Distributing Opioids,"LEXINGTON, Ky. - A Kentucky doctor and his office assistant pleaded guilty for their roles in unlawfully distributing opioids and other controlled substances during a time when the defendants did not have a legitimate medical practice.",https://go.usa.gov/xf7aJ
19,Criminal and Civil Enforcement,2020-08-07,U.S. Attorney,District of Massachusetts,0,Lexington Doctor and Office Manager Indicted in International Money Laundering Scheme Involving Non-Approved Drugs,"BOSTON - A Lexington doctor and his wife, who works as his office manager, were charged in an international money laundering scheme involving importing illegal drugs. ",https://go.usa.gov/xf7aM
20,Criminal and Civil Enforcement,2020-08-07,U.S. Attorney,District of Connecticut,0,Connecticut Dentist Pays Over $148K to Settle Improper Billing Allegations,"U.S. Attorney John H. Durham and Connecticut Attorney General William Tong today announced that EAN JAMES, D.M.D., has entered into a civil settlement with the federal and state governments in which he will pay more than $148,000 to resolve allegations that he caused overpayments to be paid by the Connecticut Medicaid Program.",https://go.usa.gov/xfwvz
21,Criminal and Civil Enforcement,2020-08-05,U.S. Attorney,Central District of California,0,Doctor Among 10 Facing Federal Drug Trafficking Charges Related to Distribution of Opioids Through Bogus Pain Clinics Across SoCal,"SANTA ANA, California- Law enforcement authorities this morning arrested four defendants charged in two federal grand jury indictments alleging a narcotics trafficking ring that sold illegal opioid prescriptions for cash through a series of sham medical clinics.",https://go.usa.gov/xfdEK
22,Criminal and Civil Enforcement,2020-08-04,U.S. Attorney,Southern District of California,0,VP of Genetics Company Pleads Guilty to Paying Physicians Sham Clinical Research Fees as Part of $21 Million Medicare Fraud Scheme," SAN DIEGO - Donald Joseph Matthews, the former Vice President of Market Development for Proove Biosciences. Inc., pleaded guilty in federal court today to conspiring to pay physicians kickbacks to order genetic tests for Medicare beneficiaries in violation of the Anti-Kickback Statute.",https://www.justice.gov/usao-sdca/pr/vp-genetics-company-pleads-guilty-paying-physicians-sham-clinical-research-fees-part-21
23,Criminal and Civil Enforcement,2020-07-31,U.S. Department of Justice,,0,Florida Doctor Charged in Massive $681 Million Substance Abuse Treatment Fraud Scheme,"A Palm Beach County, Florida doctor was arrested and charged with conspiring to commit health care fraud and wire fraud for his alleged participation in a massive years-long health care fraud scheme throughout Palm Beach County, billing for fraudulent tests and treatments for vulnerable patients seeking treatment for drug and/or alcohol addiction.",https://www.justice.gov/opa/pr/florida-doctor-charged-massive-681-million-substance-abuse-treatment-fraud-scheme
24,Criminal and Civil Enforcement,2020-07-31,U.S. Attorney,Northern District of Alabama,0,Mobile-Area Doctor Charged in Prescription Drug Billing Scheme,"BIRMINGHAM, Ala. - A Mobile-area Alabama doctor was indicted on Tuesday in a long-running investigation into a prescription drug-billing scheme involving a Haleyville, Ala.-based pharmacy, Northside Pharmacy doing business as Global Compounding Pharmacy.  ",https://www.justice.gov/usao-ndal/pr/mobile-area-doctor-charged-prescription-drug-billing-scheme
25,Criminal and Civil Enforcement,2020-07-30,"U.S. Attorney's Office, Eastern District of Michigan",,0,Macomb County Couple Charged with Tax Evasion and Health Care Fraud Offenses and Physician Charged in Health Care Fraud Conspiracy,"A superseding indictment was unsealed today charging Isabel Tcruz and Noli Tcruz with tax evasion and multiple health care fraud offenses, and charging Dr. Terry S. Baul with participating in a health care fraud conspiracy, U.S. Attorney Matthew Schneider announced today. Previously, only Isabel Tcruz had been indicted with health care fraud offenses in this case.",https://go.usa.gov/xfPtV
26,Criminal and Civil Enforcement,2020-07-29, Department of Justice,,0,"Florida Man Charged with COVID Relief Fraud, Health Care Fraud and Money Laundering","A Florida man has been charged regarding allegations that he fraudulently obtained a Paycheck Protection Program (PPP) loan and an Economic Injury Disaster Loan (EIDL), and that he orchestrated a conspiracy to submit false and fraudulent claims for reimbursement to Medicare and CareCredit, and to defraud his own patients by charging them thousands of dollars for chiropractic services under false pretenses.",https://go.usa.gov/xfU7V
27,Criminal and Civil Enforcement,2020-07-29,"U.S. Attorney's Office, Southern District of New York",,0,Manhattan U.S. Attorney Announces $2.775 Million Settlement Of Medicaid Billing Fraud Case Against New York City And Computer Sciences Corporation,"Audrey Strauss, the Acting United States Attorney for the Southern District of New York, and Scott Lampert, the Special Agent in Charge for the New York Office of Inspector General of the U.S. Department of Health and Human Services (""HHS-OIG""), announced today the entry of two settlements in a Medicaid billing fraud lawsuit against New York City (the ""City"") and Computer Sciences Corporation (""CSC""). ",https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-2775-million-settlement-medicaid-billing-fraud-case
28,Criminal and Civil Enforcement,2020-07-28,"U.S. Attorney's Office, District of New Jersey",,0,Pharmaceutical Company Agrees to Pay $3.5 Million to Resolve Allegations of Violating False Claims Act,"NEWARK, N.J. - Pacira Pharmaceuticals Inc. will pay $3.5 million to resolve allegations that it paid kickbacks to doctors in the form of bogus research grants to induce them to prescribe its analgesic EXPAREL, Attorney for the United States Rachael A. Honig announced today. The allegations arose from a whistleblower suit filed under the False Claims Act.",https://go.usa.gov/xfQmM
29,Criminal and Civil Enforcement,2020-07-27,"U.S. Attorney's Office, District of Massachusetts",,0,Colombian National Agrees to Plead Guilty to $109 Million Medicare Fraud Scheme,"BOSTON - A Colombian national residing in Lighthouse Beach, Fla., has agreed to plead guilty in connection with submitting more than $109 million in false and fraudulent claims for durable medical equipment (DME) such as arm, back, knee and shoulder braces.  ",https://go.usa.gov/xfnjV
30,Criminal and Civil Enforcement,2020-07-27,"U.S. Attorney's Office, Eastern District of New York",,0,Former Long Island Doctor Pleads Guilty to Conspiring to Illegally Distribute Oxycodone,"Earlier today, in federal court in Central Islip, Tameshwar Ammar, a former medical doctor in Roslyn, New York, pleaded guilty via teleconference to conspiring to illegally distribute oxycodone.",https://go.usa.gov/xfnje
