,Section,Date,Authority,Geographical subdivision,Medicare Fraud Strike Force case,Heading,Description,Hyperlink
0,Criminal and Civil Enforcement,"December 31, 2013",U.S. Department of Justice,,0,Colorado Health Care Organization and One of Its Montana Hospitals to Pay $3.85 Million for Allegedly Providing Financial Benefits to Referring Physicians and Physician Groups,"St. James Healthcare (St. James), a hospital located in Butte, Mont., and its parent company, Sisters of Charity of Leavenworth Health System (Sisters of Charity), a health care organization based in Denver, Colo., have agreed to pay $3.85 million to resolve allegations that they violated the Anti-Kickback Statute, the Stark Law and the False Claims Act by improperly providing financial benefits to physicians and physician groups that made referrals to the hospital, the Justice Department announced today.",https://www.justice.gov/opa/pr/2013/December/13-civ-1369.html
1,Criminal and Civil Enforcement,"December 27, 2013",U.S. Department of Justice,,0,Abbott Laboratories Pays U.S. $5.475 Million to Settle Claims That Company Paid Kickbacks to Physicians,"Abbott Laboratories has agreed to pay the United States $5.475 million to resolve allegations that it violated the False Claims Act by paying kickbacks to induce doctors to implant the company's carotid, biliary and peripheral vascular products, the Justice Department announced today.  Abbott is a global pharmaceuticals and health care products company based in Abbott Park, Ill.",https://www.justice.gov/opa/pr/2013/December/13-civ-1367.html
2,Criminal and Civil Enforcement,"December 26, 2013",U.S. Attorney,District of Arizona,0,Rural/Metro to Pay $2.8 Million to Resolve False Claims Allegations,"PHOENIX - Rural/Metro Corporation, a Delaware corporation that through its subsidiaries and affiliates provides private ambulance and fire protection services in Arizona and approximately 20 other states, has agreed to pay the United States $2,802,112 to resolve civil allegations that various Rural/Metro ambulance companies violated the federal False Claims Act by submitting false bills to Medicare.",https://www.justice.gov/usao/az/press_releases/2013/PR_12262013_Rural_Metro.html
3,Criminal and Civil Enforcement,"December 24, 2013",U.S. Attorney,Western District of Washington,0,Anesthesiologist Pleads Guilty To Unlawfully Distributing Oxycodone,"A former hospital anesthesiologist pleaded guilty today in U.S. District Court in Seattle to distribution of oxycodone, announced U.S. Attorney Jenny A. Durkan.  HIEU TU LE, 40, of Snohomish, Washington, a medical doctor licensed in Washington State since 2004, operated medical clinics in Seattle and Everett, Washington.  In his plea agreement, LE admits that between March 2012 and July 2013 he wrote oxycodone prescriptions for cash and obtained oxycodone that he distributed for cash, all without a legitimate medical need to do so.",https://www.justice.gov/usao/waw/press/2013/December/le.html
4,Criminal and Civil Enforcement,"December 23, 2013",U.S. Attorney,Southern District of Florida,0,Two Miami Women Sentenced to Ten Years in Prison for Conspiring to Pay Healthcare Kickbacks,"Wifredo A. Ferrer, United States Attorney for the Southern District of Florida, Michael B. Steinbach, Special Agent in Charge, Federal Bureau of Investigation, Miami Field Office, and Christopher B. Dennis, Special Agent in Charge, U.S. Department of Health and Human Services, Office of Inspector General, Miami Regional Office, announce that U.S. District Judge Federico A. Moreno sentenced Yiral Cardona, 39, of Miami, and Susan Chi, 42, of Miami, to ten years in prison stemming from their leadership role in a conspiracy to pay healthcare kickbacks.",https://www.justice.gov/usao/fls/PressReleases/131223-01.html
5,Criminal and Civil Enforcement,"December 20, 2013",U.S. Attorney,Western District of Virginia,0,Pair Sentenced On Health Care Related False Statement Charges,"Roanoke, Virginia - A mother and son who falsely billed Medicaid for services that were not performed were sentenced yesterday morning in the United States District Court for the Western District of Virginia in Roanoke. In a related case earlier this week, a registered nurse who also billed Medicaid for services that were not performed in relation to the same situation, pleaded guilty.",https://www.justice.gov/usao/vaw/news/2013/bugg_20dec2013.html
6,Criminal and Civil Enforcement,"December 20, 2013",U.S. Attorney,Southern District of Texas,0,Local Doctor Pleads Guilty in Misbranding Drugs Case,"Laredo, Texas - Eduardo Miranda M.D., 55, of Laredo, has pleaded guilty to one count of introducing misbranded drugs into the country, announced United States Attorney Kenneth Magidson. From October 2007 through January 2009, Miranda, a doctor who specializes in treating patients with cancer, ordered cancer drugs from a pharmacy called QSP, based in Canada. These drugs were not approved for distribution or use in the U.S. and did not bear adequate labeling for use. Some of the drugs had instructions and labeling in other languages. QSP was also not an authorized distributor or a retailer of these drugs in Canada.",https://www.justice.gov/usao/txs/1News/Releases/2013%20December/131220%20-%20Miranda.html
7,Criminal and Civil Enforcement,"December 20, 2013",U.S. Department of Justice,,0,Justice Department Recovers $3.8 Billion from False Claims Act Cases in Fiscal Year 2013,"The Justice Department secured $3. 8 billion in settlements and judgments from civil cases involving fraud against the government in the fiscal year ending Sept. 30, 2013, Assistant Attorney General for the Civil Division Stuart F. Delery announced today.   This dollar amount, which is the second largest annual recovery of its type in history, brings total recoveries under the False Claims Act since January 2009 to $ 17 billion - nearly half the total recoveries since the Act was amended 27 years ago in 1986.",https://www.justice.gov/opa/pr/2013/December/13-civ-1352.html
8,Criminal and Civil Enforcement,"December 20, 2013",U.S. Department of Justice,,0,"Genzyme Corp. to Pay $22.28 Million to Resolve False Claims Allegations Related to ""Slurry"" Used in Patients","Genzyme Corp. has agreed to pay $22.28 million to resolve allegations that it marketed, and caused false claims to be submitted to federal and state health care programs for use of, a ""slurry"" version of its Seprafilm adhesion barrier, the Justice Department announced today.  Seprafilm is a thin film intended to reduce adhesions after surgery by forming a bio-resorbable barrier between abdominal tissue and organs.  Genzyme is a biotechnology corporation based in Cambridge, Mass., and was acquired by Sanofi-Aventis SA in April 2011.",https://www.justice.gov/opa/pr/2013/December/13-civ-1358.html
9,Criminal and Civil Enforcement,"December 20, 2013",U.S. Department of Justice,,0,Patient Recruiter and Therapy Staffing Company Owner Sentenced for Roles in $7 Million Health Care Fraud Scheme,"A patient recruiter and a therapy staffing company owner were sentenced today to serve 50 months and 46 months in prison, respectively, for their participation in a $7 million health care fraud scheme involving defunct home health care company Anna Nursing Services Corp. Ivan Alejo, 48, and Hugo Morales, 37, both of Miami, were sentenced by U.S. District Judge Jose E. Martinez in the Southern District of Florida.   In addition to their prison terms, Alejo and Morales were both sentenced to serve three years of supervised release.   Alejo and Morales were also ordered to pay jointly and severally with their co-defendants $6,928,931 and $1,958,279, respectively, in restitution.",https://www.justice.gov/opa/pr/2013/December/13-crm-1353.html
