,Section,Date,Authority,Geographical subdivision,Medicare Fraud Strike Force case,Heading,Description,Hyperlink
0,Criminal and Civil Enforcement,"December 23, 2015",U.S. Attorney,Southern District of Georgia,0,"Government Settles Alleged False Claims Act Violations With Memorial Health, Inc.","SAVANNAH, GA: Memorial Health, Inc., Memorial Health University Medical Center, Inc., Provident Health Services, Inc., and MPPG, Inc. d/b/a Memorial Health University Physicians have agreed to pay $9,895,043.04 to resolve allegations that they violated the False Claims Act by submitting claims to the Government in violation of the Stark Law.  The settlement is the largest civil health care fraud recovery in the history of the United States Attorney's Office for the Southern District of Georgia.",https://www.justice.gov/usao-sdga/pr/government-settles-alleged-false-claims-act-violations-memorial-health-inc
1,Criminal and Civil Enforcement,"December 23, 2015",U.S. Attorney,Eastern District of Pennsylvania,0,United States Settles With Aria Health Systems Over Unnecessary Invasive Procedures And Improper Compensation Claims,"PHILADELPHIA - The United States and Aria Health Systems, Inc. (""Aria"") today settled two False Claims Act matters which Aria self-disclosed, announced United States Attorney Zane David Memeger.  Aria agreed to pay $564,700 to resolve claims that a cardiologist performed unnecessary invasive procedures on inpatients and outpatients at their Torresdale Campus between October 1, 2012 and April 15, 2013.  Aria also agreed to pay $2.5 million to resolve alleged violations of the False Claims Act regarding compensation to physicians that were in excess of fair market value.",https://www.justice.gov/usao-edpa/pr/united-states-settles-aria-health-systems-over-unneccessary-invasive-procedures-and
2,Criminal and Civil Enforcement,"December 23, 2015",U.S. Attorney,Eastern District of Virginia,0,"Arlington Nursing Home Agrees Pay $600,000 to Settle False Claim Act Violations","ALEXANDRIA, Va. - Genesis HealthCare LLC, whose headquarters is located in Kennett Square, Pennsylvania, has agreed to pay $600,000 to resolve allegations that it submitted false claims to the federal government in connection with its operation of a skilled nursing facility known as the Potomac Center, located Arlington.",https://www.justice.gov/usao-edva/pr/arlington-nursing-home-agrees-pay-600000-settle-false-claim-act-violations
3,Criminal and Civil Enforcement,"December 22, 2015",U.S. Attorney,District of Massachusetts,0,Coloplast Corp. and Liberator Medical Agree to Pay $3.6 Million to Resolve Kickback Allegations,"BOSTON - The U.S. Attorney's Office announced today that Coloplast Corp., a manufacturer of ostomy and continence care products, and Liberator Medical Supply, Inc., a medical products supplier, have agreed to pay $3,160,000 and $500,000, respectively, to resolve allegations that Coloplast paid unlawful kickbacks to several medical suppliers, including Liberator, to induce them to conduct promotional campaigns designed to refer individual users to Coloplast products.   ",https://www.justice.gov/usao-ma/pr/coloplast-corp-and-liberator-medical-agree-pay-36-million-resolve-kickback-allegations
4,Criminal and Civil Enforcement,"December 22, 2015",Department of Justice,,1,Dallas-Based Home Health Company Owners and Nurses Charged for Roles in $13.4 Million Medicare Fraud Scheme,The co-owners of a home health company in Dallas and two nurse employees were charged in an indictment unsealed yesterday for their alleged participation in a $13.4 million health care fraud scheme involving fraudulent claims for home health services.Iowa Hospice to Pay More than $1 Million to Resolve False Claims Act Allegations,https://www.justice.gov/opa/pr/dallas-based-home-health-company-owners-and-nurses-charged-roles-134-million-medicare-fraud
5,Criminal and Civil Enforcement,"December 22, 2015",U.S. Attorney,District of Massachusetts,0,Clinical Director of Home Care Agency Sentenced in Medicare Fraud Scheme,BOSTON - The clinical director of a home nursing agency was sentenced yesterday in U.S. District Court in Boston in connection with her role in a multi-million dollar scheme to defraud Medicare.Splint Supplier and Its President to Pay over $10 Million to Resolve False Claims Act Allegations,https://www.justice.gov/usao-ma/pr/clinical-director-home-care-agency-sentenced-medicare-fraud-scheme
6,Criminal and Civil Enforcement,"December 22, 2015",U.S. Attorney,District of New Jersey,0,New York Health Care Professional Sentenced To Prison; Another Pleads Guilty In Connection With Test-Referral Scheme With New Jersey Clinical,"NEWARK, N.J. - A physician's assistant was sentenced to prison, and a doctor admitted taking bribes in connection with a long-running and elaborate test referral scheme operated by Biodiagnostic Laboratory Services LLC (BLS), of Parsippany, New Jersey, its president and numerous associates, U.S. Attorney Paul J. Fishman announced today.",https://www.justice.gov/usao-nj/pr/new-york-health-care-professional-sentenced-prison-another-pleads-guilty-connection-test
7,Criminal and Civil Enforcement,"December 21, 2015",U.S. Attorney,Eastern District of Texas,0,Texas Nurse Convicted of Health Care Fraud,"PLANO, Texas - A Denton County, Texas, nurse has been convicted of 9 counts of health care fraud in the Eastern District of Texas, announced U.S. Attorney John M. Bales today.   ",https://www.justice.gov/usao-edtx/pr/texas-nurse-convicted-health-care-fraud
8,Criminal and Civil Enforcement,"December 18, 2015",U.S. Attorney,Northern District of Iowa,0,Iowa Hospice to Pay More than $1 Million to Resolve False Claims Act Allegations,"Iowa Hospice, LLC, has agreed to pay $1,088,244.02 to resolve civil allegations that it violated the federal False Claims Act by submitting false bills to Medicare for hospice services.",https://www.justice.gov/usao-ndia/pr/iowa-hospice-pay-more-1-million-resolve-false-claims-act-allegations
9,Criminal and Civil Enforcement,"December 18, 2015",U.S. Attorney,Eastern District of Louisiana,0,Splint Supplier and Its President to Pay over $10 Million to Resolve False Claims Act Allegations,"Maryland-based splint supplier Dynasplint Systems Inc., and its founder and president, George Hepburn, have agreed to pay approximately $10.3 million to resolve allegations that they violated the False Claims Act by improperly billing Medicare for splints provided to patients in skilled nursing facilities, the Department of Justice announced today. ",https://www.justice.gov/usao-edla/pr/splint-supplier-and-its-president-pay-over-10-million-resolve-false-claims-act
10,Criminal and Civil Enforcement,"December 18, 2015",U.S. Attorney,Western District of New York,0,32 Hospitals To Pay U.S. More Than $28 Million To Resolve False Claims Act Allegations Related To Kyphoplasty Billing,"BUFFALO - Thirty-two hospitals located throughout 15 states have agreed to pay the United States a total of more than $28 million to settle allegations that the health care facilities submitted false claims to Medicare for minimally-invasive kyphoplasty procedures, the Justice Department announced today.  The Justice Department has now reached settlements with more than 130 hospitals totaling approximately $105 million to resolve allegations that they mischarged Medicare for kyphoplasty procedures. ",https://www.justice.gov/usao-wdny/pr/32-hospitals-pay-us-more-28-million-resolve-false-claims-act-allegations-related
11,Criminal and Civil Enforcement,"December 18, 2015",U.S. Attorney,Northern District of Ohio,0,Westlake cardiologist sentenced to 20 years in prison for overbilling Medicare and others by $5.7 million for unnecessary procedures,"A Westlake cardiologist was sentenced to 20 years in prison for performing unnecessary catheterizations, tests, stent insertions and causing unnecessary coronary artery bypass surgeries as part of a scheme to overbill Medicare and other insurers, law enforcement officials said.",https://www.justice.gov/usao-ndoh/pr/westlake-cardiologist-sentenced-20-years-prison-overbilling-medicare-and-others-57
12,Criminal and Civil Enforcement,"December 18, 2015",U.S. Attorney,Southern District of Texas,0,Mother and Daughter Sentenced for Defrauding the United States in Health Care Scheme,"HOUSTON - Two Houston area women have been sentenced following their convictions related to a scheme in which Medicare and Medicaid were billed for ambulance services that were not provided, announced U.S. Attorney Kenneth Magidson. Erika Moscarro, 37, of Houston, and Maria Vasquez, 59, of Cypress, pleaded guilty on Sept. 22, 2014, and Jan. 22, 2015, respectively.",https://www.justice.gov/usao-sdtx/pr/mother-and-daughter-sentenced-defrauding-united-states-health-care-scheme
13,Criminal and Civil Enforcement,"December 17, 2015",U.S. Attorney,Northern District of Texas,0,"San Angelo, Texas, Psychiatrist Sentenced to Serve 71 Months in Federal Prison on Health Care Fraud Conviction","AMARILLO, Texas - A licensed psychiatrist from San Angelo, Texas, Robert Hadley Gross, 58, was sentenced yesterday by U.S. District Judge Mary Lou Robinson to 71 months in federal prison, fined $100,000 and ordered to pay $1,832,869 in restitution, announced U.S. Attorney John Parker of the Northern District of Texas.",https://www.justice.gov/usao-ndtx/pr/san-angelo-texas-psychiatrist-sentenced-serve-71-months-federal-prison-health-care
14,Criminal and Civil Enforcement,"December 16, 2015",U.S. Department of Justice,,1,Home Health Care Agency Owner Sentenced to 80 Months for Directing Detroit-Area Medicare Fraud Scheme,The owner and operator of a Detroit-area home health care agency who directed a $7 million health care fraud scheme was sentenced today to 80 months in prison. ,https://www.justice.gov/opa/pr/home-health-care-agency-owner-sentenced-80-months-directing-detroit-area-medicare-fraud
15,Criminal and Civil Enforcement,"December 16, 2015",U.S. Department of Justice,,1,New Orleans Doctors and Registered Nurse Sentenced for Roles in $50 Million Fraud Scheme,Two doctors and a registered nurse were sentenced to prison today for their roles at the center of a $50 million health care fraud scheme in New Orleans.,https://www.justice.gov/opa/pr/new-orleans-doctors-and-registered-nurse-sentenced-roles-50-million-fraud-scheme
16,Criminal and Civil Enforcement,"December 16, 2015",U.S. Attorney,Southern District of Illinois,0,Southern Illinois Man Sentenced On Healthcare Fraud-Related Charge,"James L. Porter, Acting United States Attorney for the Southern District of Illinois, announced today, that on December 15, 2015, Terry L. Waeltermann, Jr., 30, of Mulberry Grove and Pocahontas in Bond County, and Vandalia in Fayette County, Illinois, was sentenced in the U.S. District Court in Benton on the charge that he engaged in a scheme to steal from a health care program. The district court sentenced Waeltermann to two years of probation with the first four months to be served in home confinement. He is also ordered to pay $6,660.75 in restitution to the Home Services Program.",https://www.justice.gov/usao-sdil/pr/southern-illinois-man-sentenced-healthcare-fraud-related-charge
17,Criminal and Civil Enforcement,"December 16, 2015",U.S. Attorney,Southern District of New York,0,Manhattan U.S. Attorney Announces $39 Million Civil Fraud Settlement Against Qualitest Pharmaceuticals For Selling Half-Strength Fluoride Supplements,"Preet Bharara, the United States Attorney for the Southern District of New York, Scott J. Lampert, Special Agent in Charge of the New York Regional Office for the Office of Inspector General for the Department of Health and Human Services (""HHS-OIG""), and Diego Rodriguez, the Assistant Director-in-Charge of the New York Office of the Federal Bureau of Investigation (""FBI""), and Patrick E. McFarland, the Inspector General for the U.S. Office of Personnel Management (""OPM"") announced a $39 million settlement against Vintage Pharmaceuticals, LLC, d/b/a  QUALITEST PHARMACEUTICALS; Vintage'S corporate parent Endo Pharmaceuticals, Inc.; and seven of their corporate subsidiaries or affiliates (collectively, ""QUALITEST"") in a civil fraud lawsuit.  This global settlement resolves federal claims under the False Claims Act, 31 U.S.C. § 3729 et seq., that allege QUALITEST sold chewable fluoride tablets that contained less than half the amount of fluoride ion indicated on the drug label and caused federal healthcare programs to be fraudulently billed for these tablets, and also will resolve numerous state law civil fraud claims.",https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-39-million-civil-fraud-settlement-against-qualitest
18,Criminal and Civil Enforcement,"December 15, 2015",U.S. Attorney,Southern District of New York,0,Staten Island Physician's Assistant Sentenced In Manhattan Federal Court To 11 Years In Prison For Massive Oxycodone Distribution Conspiracy,"Preet Bharara, the United States Attorney for the Southern District of New York, announced today that LEONARD MARCHETTA, a physician's assistant, was sentenced in Manhattan federal court to 11 years in prison for conspiring to distribute large quantities of oxycodone out of his Staten Island-based medical clinic.  MARCHETTA was charged in September 2014 and pled guilty in January 2015 before U.S. District Judge P. Kevin Castel, who also imposed today's sentence.",https://www.justice.gov/usao-sdny/pr/staten-island-physician-s-assistant-sentenced-manhattan-federal-court-11-years-prison
19,Criminal and Civil Enforcement,"December 15, 2015",U.S. Attorney,Western District of North Carolina,0,Owner Of Medical Billing Company Indicted On Health Care Fraud And Aggravated Identity Theft Charges For Stealing Millions From Medicaid,"CHARLOTTE, N.C. - A Charlotte grand jury has indicted Jason Adam Townsend, 39, of Raeford, N.C., on health care fraud and aggravated identity theft charges, in connection with a scheme that defrauded Medicaid of millions of dollars, announced Jill Westmoreland Rose, U.S. Attorney for the Western District of North Carolina.  The 10-count indictment was unsealed today, following Townsend's appearance in court.",https://www.justice.gov/usao-wdnc/pr/owner-medical-billing-company-indicted-health-care-fraud-and-aggravated-identity-theft
20,Criminal and Civil Enforcement,"December 11, 2015",U.S. Attorney,Northern District of Illinois,0,Owner of Harwood Heights Home Health Care Company Indicted in Medicare Fraud and Kickback Scheme,"CHICAGO - The owner of a Harwood Heights home health care company paid kickbacks to marketers in exchange for referring elderly patients to the company for unnecessary treatment funded by Medicare, according to a 17-count federal indictment announced today.",https://www.justice.gov/usao-ndil/pr/owner-harwood-heights-home-health-care-company-indicted-medicare-fraud-and-kickback
21,Criminal and Civil Enforcement,"December 10, 2015",U.S. Attorney,Southern District of Florida,0,Miami Resident Sentenced to 108 Months in Prison for Defrauding Medicare Part D,"A Miami resident was sentenced by U.S. District Judge Donald M. Middlebrooks to 108 months in prison, to be followed by three years of supervised release and was ordered to pay $20,988,632 in restitution. ",https://www.justice.gov/usao-sdfl/pr/miami-resident-sentenced-108-months-prison-defrauding-medicare-part-d
22,Criminal and Civil Enforcement,"December 9, 2015",U.S. Attorney,Southern District of Illinois,0,Marion Man Pleads Guilty To Healthcare Fraud,"Stephen R. Wigginton, United States Attorney for the Southern District of Illinois, announced today, that Terry L. Stinnett, 68, of Marion, Illinois, pled guilty in federal court on December 8, 2015, to charges that he engaged in a scheme to steal from a health care program. Sentencing has been set for March 15, 2016. Stinnett will face up to 10 years in prison, a fine of up to $250,000, and up to 3 years of supervised release.",https://www.justice.gov/usao-sdil/pr/marion-man-pleads-guilty-healthcare-fraud
23,Criminal and Civil Enforcement,"December 8, 2015",U.S. Attorney,Southern District of New York,0,Owner Of Utah-Based Pharmaceutical Wholesale Distributor Charged In Hundred-Million-Dollar Fraud Scheme,"Preet Bharara, the United States Attorney for the Southern District of New York, and Diego Rodriguez, Assistant Director-in-Charge of the New York Field Office of the Federal Bureau of Investigation (""FBI""), and William J. Bratton, the Commissioner of the New York City Police Department (""NYPD""), announced today the unsealing of an indictment charging RANDY CROWELL, a/k/a ""Roger,"" with fraudulently distributing, through his Utah-based wholesale distribution company, more than $100 million worth of prescription drugs obtained through a nationwide black market - drugs that were then dispensed by pharmacies to unsuspecting customers.  This scheme was not only profitable for CROWELL, but also dangerous to the thousands of patients who ultimately took these black market medications not knowing that they had been previously prescribed to others and then resold and trafficked, often in unsafe conditions.  CROWELL was arrested at his home in Henderson, Nevada, and will be presented before U.S. Magistrate Judge Cam Ferenbach this afternoon in the U.S. District Court for the District of Nevada.  ",https://www.justice.gov/usao-sdny/pr/owner-utah-based-pharmaceutical-wholesale-distributor-charged-hundred-million-dollar
24,Criminal and Civil Enforcement,"December 7, 2015",U.S. Department of Justice,,1,"Southern California Ambulance Company Owner, Operator and Managers Sentenced to Prison for Medicare Fraud Scheme","The former owner, operator and managers of a Southern California ambulance company were sentenced to prison for their role in a fraud scheme that resulted in more than $1.5 million in fraudulent claims to Medicare.",https://www.justice.gov/opa/pr/southern-california-ambulance-company-owner-operator-and-managers-sentenced-prison-medicare
25,Criminal and Civil Enforcement,"December 4, 2015",U.S. Attorney,Northern District of Mississippi,0,Cleveland Woman Sentenced for Hospice Fraud,"OXFORD, Miss. - Felicia C. Adams, United States Attorney for the Northern District of Mississippi; Derrick L. Jackson, Special Agent in Charge at the U.S. Department of Health and Human Services, Office of Inspector General; Donald Alway, Special Agent in Charge at the Federal Bureau of Investigation, and Mississippi Attorney General Jim Hood announced that: Sandra Livingston, 64, of Cleveland, Mississippi, was sentenced on December 3, 2015 by United States District Judge Sharion Aycock in Aberdeen, Mississippi to thirty-six (36) months imprisonment to be followed by three (3) years of supervised release.",https://www.justice.gov/usao-ndms/pr/cleveland-woman-sentenced-hospice-fraud
26,Criminal and Civil Enforcement,"December 1, 2015",U.s. Attorney,District of Wisconsin,0,Osceola Laboratory Agrees to Pay $8.5 Million to Resolve False Billing Case,"MADISON, WIS. -- John W. Vaudreuil, United States Attorney for the Western District of Wisconsin, announced that Pharmasan Labs, Inc. and NeuroScience, Inc., and  Gottfried Kellermann, 74, and Mieke Kellermann, 68, both of Osceola, Wis., have agreed to pay $8.5 million to the United States to resolve False Claims Act allegations. ",https://www.justice.gov/usao-wdwi/pr/osceola-laboratory-agrees-pay-85-million-resolve-false-billing-case
27,Criminal and Civil Enforcement,"November 30, 2015",U.S. Attorney,Southern District of Texas,0,Skilled Nursing Facility Company Agrees to Pay More Than $3 Million to Resolve Kickback Allegations,"HOUSTON - Regent Management Services L.P. has agreed to pay approximately $3.199 million to settle allegations that it received kickbacks from various ambulance companies in exchange for rights to Regent's more lucrative Medicare and Medicaid transport referrals, announced U.S. Attorney Kenneth Magidson and Gregory Demske, Chief Counsel to the Inspector General of the U.S. Department of Health and Human Services-Office of Inspector General (HHS-OIG) and Special Agent in Charge CJ Porter, of HHS-OIG, Office of Investigations, Dallas Regional Office.",https://www.justice.gov/usao-sdtx/pr/skilled-nursing-facility-company-agrees-pay-more-3-million-resolve-kickback-allegations
