,Section,Date,Authority,Geographical subdivision,Medicare Fraud Strike Force case,Heading,Description,Hyperlink
0,Criminal and Civil Enforcement,"December 28, 2016",U.S. Attorney,Northern District of California,0,Bay Sleep Clinic And Related Entities Agree To Pay The United States $2.6 Million To Settle False Claims Act Allegations,"SAN JOSE - Bay Sleep Clinic, its related businesses- Qualium Corporation and Amerimed Corporation-and their owners and operators, Anooshiravan Mostowfipour and Tara Nader (collectively, the Defendants) have agreed to pay $2.6 million to settle allegations that they fraudulently billed the Medicare program, announced United States Attorney Brian J. Stretch and U.S. Department of Health and Human Services-Office of the Inspector General (HHS-OIG) Special Agent in Charge, Steven Ryan.  The settlement resolves allegations that the Defendants fraudulently charged the Medicare program for diagnostic sleep tests and medical devices in violation of Medicare payment rules.",https://www.justice.gov/usao-ndca/pr/bay-sleep-clinic-and-related-entities-agree-pay-united-states-26-million-settle-false
1,Criminal and Civil Enforcement,"December 22, 2016",U.S. Attorney,Middle District of Pennsylvania,0,"Owner Of Harrisburg Healthcare Services Firm Sentenced For False Statements, Money Laundering And Identity Theft","HARRISBURG - The United States Attorney's Office for the Middle District of Pennsylvania announced today that Rose Umana, age 49, of Mechanicsburg, Pennsylvania, was sentenced on December 21, 2016, by United States District Court Judge Sylvia H. Rambo to 36 months in prison for making false statements relating to health care matters, engaging in monetary transactions involving criminally-derived property, and identity theft.  ",https://www.justice.gov/usao-mdpa/pr/owner-harrisburg-healthcare-services-firm-sentenced-false-statements-money-laundering
2,Criminal and Civil Enforcement,"December 21, 2016",U.S. Attorney,Southern District of Mississippi,0,Two Plead Guilty in Case Involving False Statements to Medicare,"Hattiesburg, Mississippi. - Larry Carlton Jenkins and Annie Elizabeth Jenkins, both age 60, of Stringer, Mississippi, pled guilty on December 16, 2016, for their roles in a case involving making false statements to Medicare, announced U.S. Attorney Gregory K. Davis. ",https://www.justice.gov/usao-sdms/pr/two-plead-guilty-case-involving-false-statements-medicare
3,Criminal and Civil Enforcement,"December 20, 2016",U.S. Attorney,District of New Jersey,0,New York Doctor Charged With Taking Bribes In Test-Referral Scheme With New Jersey Clinical Lab,"NEWARK, N.J. - A doctor practicing in Staten Island, New York, was charged today with accepting bribes in exchange for test referrals as part of a long-running and elaborate scheme operated by Biodiagnostic Laboratory Services LLC (BLS), of Parsippany, New Jersey, its president and numerous associates, U.S. Attorney Paul J. Fishman announced.",https://www.justice.gov/usao-nj/pr/new-york-doctor-charged-taking-bribes-test-referral-scheme-new-jersey-clinical-lab-1
4,Criminal and Civil Enforcement,"December 20, 2016",U.S. Attorney,District of Maryland,0,"Employee of Medical Equipment Provider Pleads Guilty To Health Care Fraud, Aggravated Identity Theft and Defrauding the IRS","Baltimore, Maryland - Elma Myles, age 52, of Baltimore pleaded guilty to health care fraud in connection with schemes to defraud Medicaid and other health benefit programs; aggravated identity theft; and conspiracy to defraud the IRS by not reporting income from the health care fraud scheme. The guilty plea was entered on December 19, 2016.",https://www.justice.gov/usao-md/pr/employee-medical-equipment-provider-pleads-guilty-health-care-fraud-aggravated-identity
5,Criminal and Civil Enforcement,"December 19, 2016",U.S. Attorney,District of Kansas,0,Medical Imaging Provider Charged with Federal Health Care Fraud,"TOPEKA, KAN. - A man who owned a medical imaging business was charged in federal court here today with collecting more than $1.5 million from a health care fraud scheme, U.S. Attorney Tom Beall said.",https://www.justice.gov/usao-ks/pr/medical-imaging-provider-charged-federal-health-care-fraud
6,Criminal and Civil Enforcement,"December 15, 2016",U.S. Department of Justice,,0,Administrator of Miami-Area Home Health Agency Convicted of Conspiracy to Commit $2.5 Million Medicare Fraud Scheme,The administrator of a Miami-area home health agency was convicted today for his role in a $2.5 million Medicare fraud scheme.,https://www.justice.gov/opa/pr/administrator-miami-area-home-health-agency-convicted-conspiracy-commit-25-million-medicare
7,Criminal and Civil Enforcement,"December 15, 2016",U.S. Department of Justice,,0,Forest Laboratories and Forest Pharmaceuticals to Pay $38 million to Resolve Kickback Allegations Under the False Claims Act,"Forest Laboratories LLC, located in New York, New York, and its subsidiary, Forest Pharmaceuticals Inc., have agreed to pay $38 million to resolve allegations that they violated the False Claims Act by paying kickbacks to induce physicians to prescribe the drugs Bystolic�, Savella�, and Namenda�, the Department of Justice announced today. ",https://www.justice.gov/opa/pr/forest-laboratories-and-forest-pharmaceuticals-pay-38-million-resolve-kickback-allegations
8,Criminal and Civil Enforcement,"December 14, 2016",U.S. Attorney,District of Connecticut,0,Waterbury Man Pleads Guilty to Health Care Fraud Charge,"Deirdre M. Daly, United States Attorney for the District of Connecticut, today announced that MAURICE SHARPE, 44, of Waterbury, waived his right to indictment and pleaded guilty yesterday before U.S. District Judge Victor A. Bolden in Bridgeport to one count of health care fraud.",https://www.justice.gov/usao-ct/pr/waterbury-man-pleads-guilty-health-care-fraud-charge
9,Criminal and Civil Enforcement,"December 13, 2016",U.S. Attorney,Southern District of Florida,0,Tampa Resident Indicted for Involvement with Tricare Health Care Fraud Scheme,"Tampa resident indicted in the Southern District of Florida for his involvement in Tricare health care fraud scheme, money laundering, and the misbranding of drugs.",https://www.justice.gov/usao-sdfl/pr/tampa-resident-indicted-involvement-tricare-health-care-fraud-scheme
