,Section,Date,Authority,Geographical subdivision,Medicare Fraud Strike Force case,Heading,Description,Hyperlink
0,Criminal and Civil Enforcement,"December 21, 2018",U.S. Department of Justice,,0,"United States Joins False Claims Act Lawsuit Against Wheeling Hospital, R & V Associates, and Ronald Violi Based on Improper Payments and Kickbacks to Physicians<br>The United States has partially intervened in a lawsuit under the False Claims Act against Wheeling Hospital Inc. (Wheeling), R &amp; V Associates Ltd. (R &amp; V), and Ronald Violi in the U.S. District Court for the Western District of Pennsylvania, the Department of Justice announced today.  The government intervened with respect to allegations that Wheeling, which is located in Wheeling, WV, violated the Stark Law and Anti-Kickback Statute, and that those violations were caused by R &amp; V, Wheeling's contracted management consultant, and Violi, Wheeling's CEO.</br>",,https://www.justice.gov/opa/pr/united-states-joins-false-claims-act-lawsuit-against-wheeling-hospital-r-v-associates-and
1,Criminal and Civil Enforcement,"December 20, 2018",U.S. Attorney,Western District of New York,0,"Daycare Owner Sentenced For Stealing Government Funds<br>BUFFALO, N.Y.-U.S. Attorney James P. Kennedy, Jr. announced today that Tariq Butt, 42, of Buffalo, NY, who was convicted of theft of government funds, was sentenced to serve 12 months in prison by U.S. District Judge Lawrence J. Vilardo. The defendant was also ordered to pay restitution totaling $305,000 to the Department of Health and Human Services.</br>",,https://www.justice.gov/usao-wdny/pr/daycare-owner-sentenced-stealing-government-funds
2,Criminal and Civil Enforcement,"December 20, 2018",U.S. Attorney,Middle District of Florida,0,Fort Myers Doctor Agrees To Pay More Than $1.7 Million To Resolve Allegations Of Fraud,"Fort Myers, FL - United States Attorney Maria Chapa Lopez announces that Dr. Jonathan Daitch, M.D. has agreed to a civil settlement that will pay $1.718 million to the United States to resolve allegations that he violated the False Claims Act by receiving illegal kickbacks associated with the provision of anesthesia services and by causing the submission of medically unnecessary urine tests.",https://www.justice.gov/usao-mdfl/pr/fort-myers-doctor-agrees-pay-more-17-million-resolve-allegations-fraud
3,Criminal and Civil Enforcement,"December 19, 2018",U.S. Department of Justice,,1,Eight Dallas-Area Pharmacy Owners and Marketers Charged in $9 Million Kickback Scheme,"Eight Dallas, Texas-area pharmacy owners and marketers were charged in an indictment unsealed today for their roles in a scheme involving approximately $92 million in compound drug claims to TRICARE and the U.S. Department of Labor (DOL), which were allegedly the product of over $9.1 million in illegal kickbacks.",https://www.justice.gov/opa/pr/eight-dallas-area-pharmacy-owners-and-marketers-charged-9-million-kickback-scheme
4,Criminal and Civil Enforcement,"December 18, 2018",U.S. Department of Justice,,1,Miami-Area Pharmacy Owner Sentenced to Over Seven Years in Prison for Role in $8.4 Million Medicare Fraud Scheme,"The owner of a Miami, Florida-area pharmacy who caused Medicare to pay more than $8.4 million over a six-year period for prescription drugs that were never provided to beneficiaries was sentenced today to 87 months in prison. ",https://www.justice.gov/opa/pr/miami-area-pharmacy-owner-sentenced-over-seven-years-prison-role-84-million-medicare-fraud
5,Criminal and Civil Enforcement,"December 18, 2018",U.S. Attorney,Southern District of Texas,0,Local Nurse Heads to Prison for Healthcare Fraud and Kickback Convictions,"HOUSTON - A 51-year old nurse from Sugar Land is headed to federal prison following his convictions of conspiracy to commit health care fraud, six counts of health care fraud and conspiracy to violate the anti-kickback statute, announced U.S. Attorney Ryan K. Patrick. A federal jury returned the guilty verdicts against John Dubor May 17, 2018, after deliberating less than six hours following a three-day trial.",https://www.justice.gov/usao-sdtx/pr/local-nurse-heads-prison-healthcare-fraud-and-kickback-convictions
6,Criminal and Civil Enforcement,"December 18, 2018",U.S. Attorney,District of Columbia,0,Maryland Woman Charged With Health Care Fraud,WASHINGTON - A Maryland woman who was employed as a personal care aide has been charged with scheming to submit false claims to the District of Columbia's Medicaid program.,https://www.justice.gov/usao-dc/pr/maryland-woman-charged-health-care-fraud
7,Criminal and Civil Enforcement,"December 18, 2018",U.S. Attorney,District of New Hampshire,0,Former Physician Assistant Convicted In Kickback Scheme,"Concord - United States Attorney Scott W. Murray announced that a federal jury found Christopher Clough, 44, of Dover, New Hampshire guilty of participating in a scheme in which he received kickbacks in exchange for prescribing a powerful fentanyl spray to patients in violation of federal law.   ",https://www.justice.gov/usao-nh/pr/former-physician-assistant-convicted-kickback-scheme
8,Criminal and Civil Enforcement,"December 17, 2018",U.S. Department of Justice,,1,Miami-Area Woman Sentenced to Over Six Years in Prison for Role in $4.65 Million Medicare Fraud Scheme,"A Miami, Florida-area woman was sentenced to 78 months in prison to be followed by three years of supervised release today for her role in a $4.65 million health care fraud scheme involving three home health agencies that purported to provide home health services to Medicare patients. ",https://www.justice.gov/opa/pr/miami-area-woman-sentenced-over-six-years-prison-role-465-million-medicare-fraud-scheme
9,Criminal and Civil Enforcement,"December 14, 2018",U.S. Department of Justice,,1,Pharmacy Owner Convicted in Medicare Fraud Scheme,"A federal jury in Los Angeles, California found a pharmacy owner guilty today for her role in a Medicare fraud scheme involving more than $1.3 million in fraudulent claims for prescription drugs. ",https://www.justice.gov/opa/pr/pharmacy-owner-convicted-medicare-fraud-scheme
10,Criminal and Civil Enforcement,"December 14, 2018",U.S. Attorney,Middle District of Tennessee,0,Former CEO of Nashville Company Charged With Healthcare Fraud and Aggravated Identity Theft,"NASHVILLE, Tenn. - December 14, 2018 - Margaret Fisher, 60, formerly of Nashville, Tennessee, was arrested yesterday by United States Marshals in Williston, North Dakota and charged with four counts of healthcare fraud and two counts of aggravated identity theft, announced U.S. Attorney Don Cochran for the Middle District of Tennessee. ",https://www.justice.gov/usao-mdtn/pr/former-ceo-nashville-company-charged-heallthcare-fraud-and-aggravated-identity-theft
