,Section,Date,Authority,Geographical subdivision,Medicare Fraud Strike Force case,Heading,Description,Hyperlink
0,Criminal and Civil Enforcement,"December 27, 2012",U.S. Department of Justice,,0,Victory Pharma Inc. of San Diego Pays $11.4 Million to Resolve Kickback Allegations in Connection with Promotion of Its Drugs,"Victory Pharma Inc., a specialty pharmaceutical company headquartered in San Diego, has agreed to pay $11,420,743 to resolve federal civil and criminal liability arising from its marketing of the pharmaceutical products Naprelan, Xodol, Fexmid and Dolgic, the Justice Department announced today.   Under the agreement announced today, Victory entered into a deferred prosecution agreement and paid a criminal forfeiture of $1.4 million to resolve federal Ant-Kickback Statute allegations, and paid $9,938,310 to resolve False Claims Act allegations.",https://www.justice.gov/opa/pr/2012/December/12-civ-1547.html
1,Criminal and Civil Enforcement,"December 20, 2012",U.S. Attorney,Southern District of Florida,0,Miami Husband and Wife Sentenced on Medicare Fraud Charges,"Wifredo A. Ferrer, United States Attorney for the Southern District of Florida, Michael B. Steinbach, Acting Special Agent in Charge, Federal Bureau of Investigation, Miami Field Office, and Christopher B. Dennis, Special Agent in Charge, U.S. Department of Health and Human Services, Office of Inspector General, announce yesterday's sentencing of Lazaro Prat and Lisette Lopez Prat, husband and wife, both from Miami, on Medicare fraud and money laundering charges. Lazaro Prat was convicted of conspiring to defraud Medicare and conspiring to launder Medicare fraud proceeds. Lisette Lopez Prat was convicted of conspiring with her husband and others to launder the proceeds of Medicare fraud.",https://www.justice.gov/usao/fls/PressReleases/121220-04.html
2,Criminal and Civil Enforcement,"December 20, 2012",U.S. Attorney,Western District of Louisiana,0,"Former Lafayette, La Cardiologist Reports To Prison to Begin Ten Year Sentence","Lafayette, La. - United States Attorney Stephanie A. Finley announced today that Dr. Mehmood M. Patel, 67, a former Lafayette cardiologist surrendered to the Bureau of Prisons on December 17, 2012, to begin serving a ten year sentence.",https://www.justice.gov/usao/law/news/wdla20121220.pdf
3,Criminal and Civil Enforcement,"December 20, 2012",U.S. Attorney,Northern District of California,0,10 Members of Fraudulent Prescription Ring Arrested,"OAKLAND - On December 18, 2012, ten people were arrested for their participation in a network that obtained significant quantities of prescription narcotics through forged prescriptions, United States Attorney Melinda Haag announced.",https://www.justice.gov/usao/can/news/2012/2012_12_20_ten.arrested.press.html
4,Criminal and Civil Enforcement,"December 20, 2012",U.S. Department of Justice,,0,Clinical Director for Miami-based Health Care Clinic Sentenced to Prison for Role in $50 Million Medicare Fraud Scheme,"WASHINGTON - A former clinical director for Biscayne Milieu, a Miami-based mental-health clinic, was sentenced today to 100 months in prison for his participation in a Medicare fraud scheme involving the submission of more than $50 million in fraudulent billings to Medicare, announced Assistant Attorney General Lanny A. Breuer of the Justice Department's Criminal Division; U.S. Attorney Wifredo A. Ferrer of the Southern District of Florida; Michael B. Steinbach, Acting Special Agent in Charge of the FBI's Miami Field Office; and Special Agent in Charge Christopher B. Dennis of the U.S. Department of Health and Human Services Office of Inspector General, Office of Investigations Miami Office.",https://www.justice.gov/opa/pr/2012/December/12-crm-1540.html
5,Criminal and Civil Enforcement,"December 20, 2012",U.S. Attorney,Northern District of Illinois,0,Owner of Former South Suburban Home Health Care Business Sentenced To 10 Years in Prison for $2.9 Million Medicare Fraud,"CHICAGO - The co-owner of a former south suburban home health care business was sentenced today to 10 years in federal prison for defrauding Medicare of more than $2.9 million by submitting tens of thousands of false claims annually that misrepresented medical services provided to beneficiaries. BAHIR HAJ KHALIL, the executive manager and co-owner of House Call Physicians LLC, in Palos Hills, was the last of three defendants to be sentenced following Khalil's conviction at a trial in September.",https://www.justice.gov/usao/iln/pr/chicago/2012/pr1220_01.pdf
6,Criminal and Civil Enforcement,"December 19, 2012",U.S. Department of Justice,,0,Amgen Inc. Pleads Guilty To Federal Charge in Brooklyn and Pays $762 Million to Resolve Criminal Liability and Civil Fraud Allegations,"Earlier today, at the federal courthouse in Brooklyn, New York, U.S. District Judge Sterling Johnson, Jr. accepted a guilty plea by American biotechnology giant Amgen Inc. (""Amgen"") for illegally introducing a misbranded drug into interstate commerce, and approved Amgen's global settlement with the United States in which Amgen agreed to pay $762 million to resolve criminal and civil liability arising from its sale and promotion of certain drugs. The settlement represents the single largest criminal and civil fraud settlement involving a biotechnology company in U.S. history.",https://www.justice.gov/opa/pr/2012/December/12-civ-1523.html
7,Criminal and Civil Enforcement,"December 19, 2012",U.S. Department of Justice,,0,Sanofi US Agrees to Pay $109 Million to Resolve False Claims Act Allegations of Free Product Kickbacks to Physicians,"Sanofi-Aventis U.S. Inc. and Sanofi-Aventis U.S. LLC, subsidiaries of international drug manufacturer Sanofi (collectively, Sanofi US), have agreed to pay $109 million to resolve allegations that Sanofi US violated the False Claims Act by giving physicians free units of Hyalgan, a knee injection, in violation of the Anti-Kickback Statute, to induce them to purchase and prescribe the product.   The settlement also resolves allegations that Sanofi US submitted false average sales price (ASP) reports for Hyalgan that failed to account for free units distributed contingent on Hyalgan purchases.   The government alleges that the false ASP reports, which were used to set reimbursement rates, caused government programs to pay inflated amounts for Hyalgan and a competing product.",https://www.justice.gov/opa/pr/2012/December/12-civ-1526.html
8,Criminal and Civil Enforcement,"December 19, 2012",U.S. Department of Justice,,0,Owners of Two Miami Home Health Companies Plead Guilty in $48 Million Health Care Fraud Scheme,"The owners and operators of two Miami health care agencies pleaded guilty today for their participation in a $48 million home health Medicare fraud scheme, announced Assistant Attorney General Lanny A. Breuer of the Justice Department's Criminal Division; U.S. Attorney Wifredo A. Ferrer of the Southern District of Florida; Michael B. Steinbach, Acting Special Agent in Charge of the FBI's Miami Field Office; and Special Agent in Charge Christopher Dennis of the HHS Office of Inspector General, Office of Investigations Miami Office.",https://www.justice.gov/opa/pr/2012/December/12-crm-1531.html
9,Criminal and Civil Enforcement,"December 18, 2012",U.S. Attorney,Central District of California,0,Orange County Doctor Sentenced to Year in Prison in $11 Million Medicare Scam Involving Patients Recruited from L.A.'s 'Skid Row',"LOS ANGELES - A physician who admitted homeless patients to the Tustin Hospital and Medical Center after they had been driven from ""Skid Row"" in downtown Los Angeles as part of a Medicare fraud scheme has been sentenced to one year in federal prison. Dr. Kenneth Thaler, 61, of Westminster, was sentenced yesterday afternoon by Chief United States District Judge George H. King. Thaler, who admitted approximately 60 patients per month-including some who did not require hospitalization-also was ordered to pay approximately $11 million in restitution to the Medicare program.",https://www.fbi.gov/losangeles/press-releases/2012/orange-county-doctor-sentenced-to-year-in-prison-in-11-million-medicare-scam-involving-patients-recruited-from-l.a.s-skid-row
10,Criminal and Civil Enforcement,"December 18, 2012",U.S. Attorney,Eastern District of New York,0,"Alleged Fugitive ""Deadbeat Parent"" Arrested For Failure To Pay Over $1 Million In Child Support","Earlier today, defendant Robert D. Sand, a fugitive wanted pursuant to a federal arrest warrant issued in the Eastern District of New York for failure to pay more than $1 million in court-ordered child support, was arrested by deputies with the United States Marshals Service after landing at Los Angeles International Airport following his deportation from the Republic of the Philippines.1 Sand's initial appearance is scheduled this afternoon before United States Magistrate Judge Bristol at the United States Courthouse in Los Angeles, California. Sand is scheduled to appear on January 16, 2013 ,before the Honorable Joseph F. Bianco at the United States Courthouse located in Central Islip, New York, for arraignment on an indictment that charges him with two counts of failure to pay child support.",https://www.justice.gov/usao/nye/pr/2012/2012dec18.html
11,Criminal and Civil Enforcement,"December 18, 2012",U.S. Department of Justice,,0,"Owner of Brooklyn, N.Y., Clinic Pleads Guilty in Connection with $71 Million Medicare Fraud Scheme","WASHINGTON - The owner and manager of a Brooklyn, N.Y., health care clinic pleaded guilty today in federal court for her role in a $71 million Medicare fraud and money laundering scheme, announced Lanny A. Breuer, Assistant Attorney General of the Department of Justice Criminal Division; Loretta E. Lynch, U.S. Attorney for the Eastern District of New York; George Venizelos, Assistant Director in Charge, FBI, New York Field Office; and Thomas O'Donnell, Special Agent in Charge, U.S. Department of Health and Human Services, Office of Inspector General.",https://www.justice.gov/opa/pr/2012/December/12-crm-1516.html
12,Criminal and Civil Enforcement,"December 18, 2012",U.S. Department of Justice,,0,Physical Therapy Assistant Pleads Guilty in Connection with Detroit Medicare Fraud Scheme,"WASHINGTON - Detroit-area resident Ankit Patel pleaded guilty today for his role in a $13.8 million home health care fraud scheme, announced Assistant Attorney General Lanny A. Breuer of the Justice Department's Criminal Division; U.S. Attorney for the Eastern District of Michigan Barbara L. McQuade; Special Agent in Charge Robert D. Foley III of the FBI's Detroit Field Office; and Special Agent in Charge Lamont Pugh III of the U.S. Department of Health and Human Services Office of Inspector General, Chicago Regional Office.",https://www.justice.gov/opa/pr/2012/December/12-crm-1521.html
13,Criminal and Civil Enforcement,"December 17, 2012",U.S. Department of Justice,,0,Leader of $63 Million Mental Health Fraud Scheme Pleads Guilty in Miami,"WASHINGTON - The owner of a string of community mental health centers pleaded guilty today in connection with a health care fraud and money laundering scheme involving defunct health care provider Health Care Solutions Network Inc. (HCSN), announced Assistant Attorney General Lanny A. Breuer of the Justice Department's Criminal Division; U.S. Attorney Wifredo A. Ferrer of the Southern District of Florida; Michael B. Steinbach, Acting Special Agent in Charge of the FBI's Miami Field Office; and Special Agent in Charge Christopher B. Dennis of the U.S. Department of Health and Human Services Office of Inspector General, Office of Investigations Miami office.",https://www.justice.gov/opa/pr/2012/December/12-crm-1508.html
14,Criminal and Civil Enforcement,"December 17, 2012",U.S. Department of Justice,,0,"Los Angeles-area Church Pastor Pleads Guilty to Money Laundering and Conspiring with Doctors, Others to Defraud Medicare of More Than $11 Million","WASHINGTON - A Los Angeles-area church pastor pleaded guilty today to conspiring with doctors, the operators of fraudulent medical clinics, street-level patient recruiters and others to defraud Medicare of more than $11 million, announced Assistant Attorney General Lanny A. Breuer of the Justice Department's Criminal Division; U.S. Attorney André Birotte Jr. of the Central District of California; Glenn R. Ferry, Special Agent in Charge for the Los Angeles Region of the U.S. Department of Health and Human Services Office of Inspector General (HHS-OIG); Bill L. Lewis, Assistant Director in Charge of the FBI's Los Angeles Field Office; and Joseph Fendrick, Special Agent in Charge of the California Department of Justice, Bureau of Medi-Cal Fraud and Elder Abuse.",https://www.justice.gov/opa/pr/2012/December/12-crm-1506.html
15,Criminal and Civil Enforcement,"December 17, 2012",U.S. Attorney,Northern District of California,0,San Jose Woman Pleads Guilty to Conspiracy to Commit Health Care Fraud,"SAN JOSE, CA-Gurinder Mand pleaded guilty in federal court in San Jose on December 12, 2012, to conspiracy to commit health care fraud, United States Attorney Melinda Haag announced. In pleading guilty, Mand admitted she knowingly and willfully conspired with the former owner of EZ Step pharmacy and others to submit false and fraudulent claims to health care benefit programs, including Medicare, Medi-Cal, and private insurance companies.",https://www.fbi.gov/sanfrancisco/press-releases/2012/san-jose-woman-pleads-guilty-to-conspiracy-to-commit-health-care-fraud
16,Criminal and Civil Enforcement,"December 17, 2012",U.S. Attorney,Southern District of Texas,0,Houston Man Arrested for Health Care Fraud,"HOUSTON - Lawrence T. Tyler, 40, has been indicted on charges of health care fraud and conspiracy to commit health care fraud,  United States Attorney Kenneth Magidson announced today. The nine-count indictment, returned Wednesday, Dec. 12, 2012, was unsealed today upon his arrest without incident.",https://www.justice.gov/usao/txs/1News/Releases/2012%20December/121217%20-%20Tyler.html
17,Criminal and Civil Enforcement,"December 17, 2012",U.S. Attorney,Eastern District of Virginia,0,Ex-Staffing Manager of Home Health Care Services Provider Sentenced for Alteration of Records to Conceal Medicaid Fraud,"NORFOLK, Va. - Lynette Smith, 41, of Suffolk, Va., was sentenced today to ten months in prison for altering records to conceal Medicaid fraud committed by a provider of home health care services. Neil H. MacBride, United States Attorney for the Eastern District of Virginia, and Virginia Attorney General Ken Cuccinelli made the announcement after sentencing by United States District Judge Robert G. Doumar.",https://www.justice.gov/usao/vae/news/2012/12/20121217smithnr.html
18,Criminal and Civil Enforcement,"December 14, 2012",U.S. Attorney,Central District of California,0,Hancock Park Physician Sentenced to Year in Federal Prison in Kickback Scheme that Defrauded Medicare Program,"LOS ANGELES - A Los Angeles physician who received approximately $30,000 in illegal kickbacks as part of a scheme that defrauded Medicare out of more than $5 million has been sentenced to one year and one day in federal prison.",https://www.justice.gov/usao/cac/Pressroom/2012/176.html
19,Criminal and Civil Enforcement,"December 13, 2012",U.S. Attorney,Northern District of Texas,0,"Amarillo, Texas, Orthodontist Pleads Guilty in Federal Court to Health Care Fraud","AMARILLO, Texas - Dr. Michael David Goodwin, 63, an orthodontist who practices in Amarillo, Texas, and Crown Point, Indiana, pleaded guilty in federal court today, before U.S. District Judge Mary Lou Robinson, to one count of health care fraud related to his scheme to defraud the Texas Medicaid program, announced U.S. Attorney Sarah R. Salda�a of the Northern District of Texas. Goodwin faces a maximum penalty of 10 years in federal prison, a $250,000 fine and restitution. He will remain on bond pending sentencing, which is set for February 7, 2013.",https://www.justice.gov/usao/txn/PressRelease/2012/DEC2012/dec13goodwin_michael_hcf_plea.html
20,Criminal and Civil Enforcement,"December 13, 2012",U.S. Department of Justice,,0,Owner of Louisiana-based Health Care Company Convicted in Texas for Role in $6.7 Million Medicare Fraud Scheme,"WASHINGTON - The owner and operator of a Louisiana-based durable medical equipment (DME) company was convicted today by a federal jury in Houston for his role in a $6.7 million Medicare fraud scheme, announced Assistant Attorney General Lanny A. Breuer of the Justice Department's Criminal Division; U.S. Attorney Kenneth Magidson of the Southern District of Texas; and Special Agent in Charge Mike Fields of the Dallas Regional Office of the U.S. Department of Health and Human Service's Office of the Inspector General (HHS-OIG).",https://www.justice.gov/opa/pr/2012/December/12-crm-1494.html
21,Criminal and Civil Enforcement,"December 13, 2012",U.S. Department of Justice,,0,Houston-area Doctor Convicted in $17.3 Million Medicare Fraud Scheme Involving Fraudulent Claims for Home Health Care Services,"WASHINGTON - A federal jury in Houston today convicted Ben Harris Echols, 63, of Houston, for conspiring to commit healthcare fraud by falsifying plans of care for Medicare beneficiaries, including patients whom he did not treat.  After a four day trial, the jury convicted Echols of one count of conspiracy to commit health care fraud and six counts of false statements relating to health care matters.",https://www.justice.gov/opa/pr/2012/December/12-crm-1498.html
22,Criminal and Civil Enforcement,"December 12, 2012",U.S. Department of Justice,,0,Pfizer Agrees to Pay $55 Million for Illegally Promoting Protonix for Off-Label Use,"Pfizer Inc. will pay $55 million plus interest to resolve allegations that Wyeth LLC illegally introduced and caused the introduction into interstate commerce of a misbranded drug, Protonix, between February 2000 and June 2001, the Justice Department announced today.",https://www.justice.gov/opa/pr/2012/December/12-civ-1488.html
23,Criminal and Civil Enforcement,"December 12, 2012",U.S. Attorney,Middle District of Florida,0,Local Pharmacist Guilty Of Filling Hundreds of Fraudulent Oxycodone Prescriptions,"Tampa, Florida - A federal jury yesterday found Emmanuel I. Mekowulu (56, Tampa) guilty of conspiring with other persons to knowingly and intentionally distribute and dispense a controlled substance, primarily Oxycodone, outside of a legitimate medical purpose and not in the usual course of professional practice. Mekowulu faces a maximum penalty of 20 years in federal prison. As part of the sentence, he will also forfeit his Florida Department of Health Pharmacist License and the DEA Registration and Florida Department of Health Pharmacy License for Felky Rx, LLC, which were used to commit or facilitate the offense.",https://www.justice.gov/usao/flm/press/2012/dec/20121212_Mekowulu.html
24,Criminal and Civil Enforcement,"December 12, 2012",U.S. Attorney,Southern District of Florida,0,Medicare Beneficiaries and Patient Recruiter Found Convicted of Accepting Kickbacks from Home Health Agency,"Wifredo A. Ferrer, United States Attorney for the Southern District of Florida, Michael B. Steinbach, Acting Special Agent in Charge, Federal Bureau of Investigation (FBI), Miami Field Office, Christopher B. Dennis, Special Agent in Charge, U.S. Department of Health and Human Services, Office of Inspector General (HHS-OIG), and Antonio J. Gomez, Acting Inspector in Charge, U.S. Postal Inspection Service, Miami Division, announce that defendants Marianela Terrero, Daymi Fuentes Gil, Olga Martinez Rodriguez, and Joel Loyola, were convicted by a jury after trial of conspiracy to pay and receive health care kickbacks related to home health services. Sentencing has been scheduled for February 19, 2013 at 11:30 AM before U.S. District Judge Donald M. Middlebrooks.",https://www.justice.gov/usao/fls/PressReleases/121212-03.html
25,Criminal and Civil Enforcement,"December 12, 2012",U.S. Attorney,Southern District of Florida,0,Sunrise Man Arrested and Charged in $20 Million Payroll Tax Fraud Scheme,"Wifredo A. Ferrer, United States Attorney for the Southern District of Florida, Michael B. Steinbach, Acting Special Agent in Charge, Federal Bureau of Investigation (FBI), Jose A. Gonzalez, Special Agent in Charge, Internal Revenue Service, Criminal Investigation Division (IRS-CID), and Christopher B. Dennis, Special Agent in Charge, U.S. Department of Health and Human Services, Office of Inspector General (HHS-OIG), announce the unsealing of a December 6, 2012 indictment charging Sonny Austin Ramdeo, 35, of Sunrise, with wire fraud in connection with a $20 million federal payroll tax fraud scheme, in violation of Title 18, United States Code, Section 1343 and 2. Ramdeo was arrested today in Brooklyn, and made his initial appearance in federal court in the Eastern District of New York earlier today. He is expected to be removed to the Southern District of Florida on these charges.",https://www.justice.gov/usao/fls/PressReleases/121212-02.html
26,Criminal and Civil Enforcement,"December 11, 2012",U.S. Department of Justice,,0,Detroit-Area Physical Therapy Assistant Sentenced to 30 Months in Prison for Role in $13.8 Million Home Health Care Fraud Scheme,"WASHINGTON-A Detroit-area registered physical therapy assistant was sentenced today to serve 30 months in prison for her role in a nearly $13.8 million Medicare fraud scheme, announced Assistant Attorney General Lanny A. Breuer of the Justice Department's Criminal Division; U.S. Attorney for the Eastern District of Michigan Barbara L. McQuade; Special Agent in Charge Robert D. Foley III of the FBI's Detroit Field Office; and Special Agent in Charge Lamont Pugh III of the U.S. Department of Health and Human Services Office of Inspector General Chicago Regional Office.",https://www.justice.gov/opa/pr/2012/December/12-crm-1482.html
27,Criminal and Civil Enforcement,"December 11, 2012",U.S. Attorney,District of Idaho,0,Caldwell Optometrist Sentenced for Defrauding Health Care Benefit Programs,"BOISE - U.S. Attorney Wendy J. Olson announced today that Christopher Card, 60, of Caldwell, Idaho, was sentenced in United States District Court to 36 months in prison followed by three years of supervised release for executing a scheme to defraud health care benefit programs. U.S. District Judge Edward J. Lodge also ordered Card to pay $1 million in restitution and fined him $100,000. He pleaded guilty to the charge on August 16, 2012.",https://www.justice.gov/usao/id/news/2012/dec/card12112012.html
28,Criminal and Civil Enforcement,"December 10, 2012",U.S. Department of Justice,,0,"Brooklyn, N.Y., Physician and Clinic President Pleads Guilty to Medicare Fraud Scheme","WASHINGTON - A medical doctor and the president of two Brooklyn, N.Y., medical clinics pleaded guilty today for his role in a scheme resulting in more than $11.7 million in fraudulent Medicare claims, announced Assistant Attorney General Lanny A. Breuer of the Justice Department's Criminal Division.",https://www.justice.gov/opa/pr/2012/December/12-crm-1474.html
29,Criminal and Civil Enforcement,"December 10, 2012",U.S. Department of Justice,,0,"Brooklyn, N.Y., Doctor Sentenced to 30 Months in Prison for Role in Medicare and Private Insurance Fraud Scheme","WASHINGTON - A Brooklyn, N.Y., board-certified colorectal surgeon, who owned and operated a New York medical clinic, was sentenced today to serve 30 months in prison for his role in a fraud scheme that billed Medicare and more than 10 private insurance companies for surgeries and other complex medical procedures that were never performed, announced Assistant Attorney General Lanny A. Breuer of the Justice Department's Criminal Division, Acting Assistant Director in Charge George Venizelos of the FBI's New York Field Office and Special Agent in Charge Thomas O'Donnell of the U.S. Department of Health and Human Services Office of Inspector General New York Regional Office.",https://www.justice.gov/opa/pr/2012/December/12-crm-1471.html
30,Criminal and Civil Enforcement,"December 7, 2012",U.S. Attorney,Southern District of Mississippi,0,"Summit Oncologist, Madison Biller Sentenced for Health Care Fraud","JACKSON, MI-Dr. Meera Sachdeva, 50, of Summit, Brittany McCoskey, 26, of Monticello, and Monica Weeks, 40, of Madison, were sentenced in U.S. District Court today on charges that they defrauded Medicare by submitting false claims for chemotherapy services, announced U.S. Attorney Gregory K. Davis, FBI Special Agent in Charge Daniel McMullen, and Derrick L. Jackson, Special Agent in Charge of the U.S. Department of Health and Human Services, Office of Inspector General in Atlanta.",https://www.fbi.gov/jackson/press-releases/2012/summit-oncologist-madison-biller-sentenced-for-health-care-fraud
31,Criminal and Civil Enforcement,"December 7, 2012",U.S. Attorney,Eastern District of North Carolina,0,Ambulance Company Owner and Son Indicted In Health Care Fraud Conspiracy,"GREENVILLE - United States Attorney Thomas G. Walker announced that today United States District Judge Malcolm J. Howard unsealed an Indictment against Phyllis Stallings Harrell and Paul Lynn Trueblood, both of Belvidere, North Carolina.  The Indictment charges Harrell and Trueblood in 68 counts, including Conspiracy to Commit Health Care and Wire Fraud, in violation of Title 18, United States Code, Section 1349; Health Care Fraud, in violation of Title 18, United States Code, Section 1347; Wire Fraud, in violation of Title 18, United States Code, Section 1343; False Statements Relating to Health Care Matters, in violation of Title 18, United States Code, Section 1035; Conducting Transactions in Criminally Derived Property, in violation of Title 18, United States Code, Section 1957; and Making Material False Statements, in violation of Title 18, United States Code, Section 1001.",https://www.justice.gov/usao/nce/press/2012/2012-dec-07.html
32,Criminal and Civil Enforcement,"December 6, 2012",U.S. Attorney,Southern District of Florida,0,Hialeah Clinic Company Owner Convicted in Medicare Fraud Scheme,"Wifredo A. Ferrer, United States Attorney for the Southern District of Florida, Michael B. Steinbach, Acting Special Agent in Charge, Federal Bureau of Investigation, and Christopher B. Dennis, Special Agent in Charge, U.S. Department of Health and Human Services, Office of the Inspector General, Miami Division, announced that a federal jury found defendant Maggie Leon, 35 of Hialeah, Florida, guilty of eight counts of health care fraud, in violation of Title 18, United States Code, Section 1347, and conspiracy to commit the same, Title 18, United States Code, Section 1349. Sentencing has been scheduled for February 6, 2013 before U.S. States District Judge Paul Huck.",https://www.justice.gov/usao/fls/PressReleases/121206-03.html
33,Criminal and Civil Enforcement,"December 6, 2012",U.S. Department of Justice,,0,Healthpoint Ltd. to Pay up to $48 Million for False Medicaid and Medicare Claims for Unapproved Prescription Drug,"Healthpoint Ltd. and DFB Pharmaceuticals will pay up to $48 million to resolve allegations that Healthpoint caused false claims to be submitted to Medicare and Medicaid for an unapproved drug, Xenaderm, which was ineligible for reimbursement by those programs, the Justice Department announced today.   Under the terms of the agreement, Healthpoint and DFB will pay $28 million, plus another $20 million if there is a change in ownership of Healthpoint or DFB over the next three years.",https://www.justice.gov/opa/pr/2012/December/12-civ-1459.html
34,Criminal and Civil Enforcement,"December 6, 2012",U.S. Department of Justice,,0,Pharmacy Owner Pleads Guilty in Miami for Role in $23 Million Health Care Fraud Scheme,"WASHINGTON - A co-owner and operator of three Miami discount pharmacies pleaded guilty today in connection with a $23 million health care fraud scheme, announced Assistant Attorney General Lanny A. Breuer of the Justice Department's Criminal Division; U.S. Attorney Wifredo A. Ferrer of the Southern District of Florida; Michael B. Steinbach, Acting Special Agent in Charge of the FBI's Miami Field Office; and Special Agent in Charge Christopher B. Dennis of the U.S. Department of Health and Human Services Office of Inspector General, Office of Investigations Miami office.",https://www.justice.gov/opa/pr/2012/December/12-crm-1461.html
35,Criminal and Civil Enforcement,"December 6, 2012",U.S. Attorney,Southern District of Texas,0,Bryan Women Charged With Health Care Fraud,"HOUSTON - Yolanda Nowlin, 41, and Carla Parnell, 49, both of Bryan, have been charged in a seven-count indictment alleging conspiracy to commit health care fraud, health care fraud, conspiracy to pay kickbacks and theft of government money, United States Attorney Kenneth Magidson announced today. Nowlin was the owner of Yellabone Medical Equipment Inc. in Bryan and Parnell was its office manager.",https://www.justice.gov/usao/txs/1News/Releases/2012%20December/121206%20-%20Nowlin%20et%20al.html
36,Criminal and Civil Enforcement,"December 5, 2012",U.S. Attorney,District of Connecticut,0,Substance Abuse Counselor Indicted On Health Care Fraud and Identity Theft Offenses,"David B. Fein, United States Attorney for the District of Connecticut, today announced that a federal grand jury in Hartford returned a 27-count indictment yesterday charging Alan Emmett Bradley, 57, of Norwalk, Conn. and Ocoee, Fla., with health care fraud and identity theft offenses.",https://www.fbi.gov/newhaven/press-releases/2012/substance-abuse-counselor-indicted-on-health-care-fraud-and-identity-theft-offenses
37,Criminal and Civil Enforcement,"December 5, 2012",U.S. Attorney,Northern District of West Virginia,0,"Doctor Charged with Health Care Fraud, Tax Offenses, and Bankruptcy Fraud","Wheeling, West Virginia - A West Virginia doctor has been charged with twenty-three felonies related to the operation of his dermatology practice in Bridgeport.",https://www.justice.gov/usao/wvn/news/2012/december/saoud.html
