,Section,Date,Authority,Geographical subdivision,Medicare Fraud Strike Force case,Heading,Description,Hyperlink
0,Criminal and Civil Enforcement,"December 30, 2019",U.S. Attorney,Middle District of Tennessee,0,"Largest Independent Provider Of Intraoperative Neuromonitoring Services To Hospitals Agrees To Pay $1.9 Million To Settle Fraud Allegations<br>NASHVILLE, Tenn. - December 30, 2019 - Medsurant Holdings, LLC, of West Conshohocken, Pennsylvania, has agreed to pay $1.9 million to settle the United States' allegations that it had violated the False Claims Act, announced U.S. Attorney Don Cochran for the Middle District of Tennessee.</br>",,https://www.justice.gov/usao-mdtn/pr/largest-independant-provider-intraoperative-neuromonitoring-services-hospitals-agrees
1,Criminal and Civil Enforcement,"December 20, 2019",U.S. Attorney,Southern District of Florida,0,"Husband and Wife Sentenced to Prison for Roles in $38 Million Health Care Fraud and Wire Fraud Scheme<br>Rodolfo Pichardo, 71, of Hialeah, Florida was sentenced to more than 15 years in prison for masterminding a $38 million health care fraud and wire fraud scheme.  His wife Marta Pichardo, 66, was sentenced to 8 years in prison for her role in the scheme.</br>",,https://www.justice.gov/usao-sdfl/pr/husband-and-wife-sentenced-prison-roles-38-million-health-care-fraud-and-wire-fraud
2,Criminal and Civil Enforcement,"December 20, 2019",U.S. Attorney,Western District of Texas,0,Federal Authorities Arrest Owner and Chief Operating Officer of TPC Family Medicine and Urgent Care Clinics in San Antonio and Laredo,"In San Antonio, a federal grand jury indicted 46-year-old licensed Physician's Assistant Christopher Felix Montoya and 40-year-old Nancy Almaguer for their roles in a Health Care Fraud, bribery and kickback scheme, announced U.S. Attorney John Bash, FBI Special Agent in Charge Christopher Combs, San Antonio Division, and Texas Attorney General Ken Paxton.",https://www.justice.gov/usao-wdtx/pr/federal-authorities-arrest-owner-and-chief-operating-officer-tpc-family-medicine-and
3,Criminal and Civil Enforcement,"December 20, 2019",U.S. Attorney,Eastern District of Wisconsin,0,"Physician Group and Related Company Agree to Repay Over $800,000 to Medicare for Unnecessary Services","United States Attorney Matthew D. Krueger announced today that VPA, P.C. (VPA), and its management services affiliate, U.S. Medical Management (USMM), have agreed to pay $829,611 to the United States to resolve allegations that VPA and USMM billed Medicare for unnecessary physician visits. ",https://www.justice.gov/usao-edwi/pr/physician-group-and-related-company-agree-repay-over-800000-medicare-unnecessary
4,Criminal and Civil Enforcement,"December 20, 2019",U.S. Attorney,Eastern District of Missouri,0,Festus Doctor and His Company Sentenced for Health Care Fraud,"St. Louis, MO - Antoine Adem, M.D., 49, of Festus, MO, and his company, Midwest Cardiovascular, Inc., were sentenced today.  Dr. Adem was sentenced to a prison term of 45 days and ordered to pay restitution of $149,199 and a fine of $55,000 for his involvement in a healthcare fraud scheme.  Midwest Cardiovascular was sentenced to a term of probation of 3 years and ordered to jointly pay restitution with Dr. Adem of $149,199 and a fine of $120,000.  Midwest Cardiovascular has offices in Festus and Farmington, Missouri.  Dr. Adem and Midwest Cardiovascular appeared today in federal court before U.S. District Judge Audrey G. Fleissig.  Both previously entered guilty pleas on August 20, 2019.",https://www.justice.gov/usao-edmo/pr/festus-doctor-and-his-company-sentenced-health-care-fraud
5,Criminal and Civil Enforcement,"December 19, 2019",U.S. Department of Justice,,1,"Owner of Detroit-Area Health Care Clinics Sentenced to Prison for a Diversion Scheme Involving 500,000 Pills of Oxycodone and Other Drugs ","The owner of a Detroit-area pain clinic and physical therapy clinic was sentenced to 11 years in prison today for her role in a diversion scheme involving more than 500,000 pills of oxycodone and other drugs. ",https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinics-sentenced-prison-diversion-scheme-involving-500000-0
6,Criminal and Civil Enforcement,"December 17, 2019",U.S. Department of Justice,,0,Pennsylvania Doctor Pleads Guilty to Fraud and Drug Importation Charges,"A Pennsylvania doctor pleaded guilty to fraud and drug importation charges for his role in a scheme to illegally import medications not approved by the U.S. Food and Drug Administration (FDA) and administer these medications to his patients, and unlawfully distributing oxycodone to his patients.",https://www.justice.gov/opa/pr/pennsylvania-doctor-pleads-guilty-fraud-and-drug-importation-charges
7,Criminal and Civil Enforcement,"December 17, 2019",U.S. Attorney,Southern District of Georgia,0,Government obtains $10.1 million in judgments to resolve Medicaid fraud claims in False Claims Act complaint,"BRUNSWICK, GA:  A Brunswick Medicaid provider and its owner have been ordered to pay more than $10 million to settle a civil fraud complaint filed by the federal government and the state of Georgia.",https://www.justice.gov/usao-sdga/pr/government-obtains-101-million-judgments-resolve-medicaid-fraud-claims-false-claims-act
8,Criminal and Civil Enforcement,"December 12, 2019",U.S. Attorney,Southern District of New York,0,Doctor And Occupational Therapist Sentenced To Prison For Participating In $30 Million Scheme To Defraud Medicare And Medicaid,"Geoffrey S.  Berman, the United States Attorney for the Southern District of New York, announced that physician PAUL J. MATHIEU was sentenced yesterday evening by U.S. District Judge Lorna G. Schofield to 48 months in prison for his participation in a $30 million scheme to defraud Medicare and the New York State Medicaid Program.  Between 2007 and 2013, MATHIEU falsely posed as the owner of three medical clinics, which were actually owned a by corrupt businessman, and falsely claimed that he had examined and treated thousands of patients whom he had not in fact seen.  In addition, occupational therapist LINA ZHITNIK was sentenced by Judge Schofield on December 3, 2019, to 14 months in prison for her role in the same scheme, which included falsifying medical records in order to claim that she had provided therapy services that she had not in fact provided.  MATHIEU was convicted in May 2019, following a six-week trial, on charges of health care fraud, wire fraud, mail fraud, conspiracy to commit those offenses, and conspiracy to make false statements in connection with a federal health care program.  ZHITNIK pled guilty to health care fraud and conspiracy to commit health care fraud, mail fraud and wire fraud in April 2019, during jury selection for trial.",https://www.justice.gov/usao-sdny/pr/doctor-and-occupational-therapist-sentenced-prison-participating-30-million-scheme
9,Criminal and Civil Enforcement,"December 9, 2019",U.S. Attorney,Eastern District of California,0,San Joaquin County Doctor Indicted for Prescribing Opioids to Patients Without a Medical Need,"SACRAMENTO, Calif. - On Dec. 5, a federal grand jury brought a 14-count indictment against a physician, Edmund Kemprud, of Dublin, charging him with prescribing opioids to patients outside the usual course of professional practice and not for legitimate medical purpose, U.S. Attorney McGregor W. Scott announced.",https://www.justice.gov/usao-edca/pr/san-joaquin-county-doctor-indicted-prescribing-opioids-patients-without-medical-need
